Name,Price,Rating
acer Aspire 7 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 165…,"$57,490.00 ",4.3
acer Aspire 7 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 16…,"$53,990.00 ",4.3
DELL Inspiron Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3515 Notebook,"$39,690.00 ",4.3
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,"$44,999.00 ",4.3
ASUS Vivobook 15 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515JA-EJ312WS Thin and Light La...,"$27,990.00 ",4.3
realme Book(Slim) Intel Evo Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) RMNB1002 Thin and Lig...,"$41,990.00 ",4.3
HP Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14s - dy5005TU Thin and Light Laptop,"$57,499.00 ",4.3
acer Aspire 7 Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA G...,"$49,990.00 ",4.3
MSI Modern 14 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 B5M-242IN Thin and...,"$39,990.00 ",4.3
MSI Bravo 15 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeo...,"$49,990.00 ",4.3
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,"$55,990.00 ",4.3
acer Nitro 5 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,"$66,990.00 ",4.3
HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce ...,"$58,990.00 ",4.3
