Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,5/2/2010,"$1,643,690.90 ",0,42.31,2.572,211.0963582,8.106
1,12/2/2010,"$1,641,957.44 ",1,38.51,2.548,211.2421698,8.106
1,19-02-2010,"$1,611,968.17 ",0,39.93,2.514,211.2891429,8.106
1,26-02-2010,"$1,409,727.59 ",0,46.63,2.561,211.3196429,8.106
1,5/3/2010,"$1,554,806.68 ",0,46.5,2.625,211.3501429,8.106
1,12/3/2010,"$1,439,541.59 ",0,57.79,2.667,211.3806429,8.106
1,19-03-2010,"$1,472,515.79 ",0,54.58,2.72,211.215635,8.106
1,26-03-2010,"$1,404,429.92 ",0,51.45,2.732,211.0180424,8.106
1,2/4/2010,"$1,594,968.28 ",0,62.27,2.719,210.8204499,7.808
1,9/4/2010,"$1,545,418.53 ",0,65.86,2.77,210.6228574,7.808
1,16-04-2010,"$1,466,058.28 ",0,66.32,2.808,210.4887,7.808
1,23-04-2010,"$1,391,256.12 ",0,64.84,2.795,210.4391228,7.808
1,30-04-2010,"$1,425,100.71 ",0,67.41,2.78,210.3895456,7.808
1,7/5/2010,"$1,603,955.12 ",0,72.55,2.835,210.3399684,7.808
1,14-05-2010,"$1,494,251.50 ",0,74.78,2.854,210.3374261,7.808
1,21-05-2010,"$1,399,662.07 ",0,76.44,2.826,210.6170934,7.808
1,28-05-2010,"$1,432,069.95 ",0,80.44,2.759,210.8967606,7.808
1,4/6/2010,"$1,615,524.71 ",0,80.69,2.705,211.1764278,7.808
1,11/6/2010,"$1,542,561.09 ",0,80.43,2.668,211.4560951,7.808
1,18-06-2010,"$1,503,284.06 ",0,84.11,2.637,211.4537719,7.808
1,25-06-2010,"$1,422,711.60 ",0,84.34,2.653,211.3386526,7.808
1,2/7/2010,"$1,492,418.14 ",0,80.91,2.669,211.2235333,7.787
1,9/7/2010,"$1,546,074.18 ",0,80.48,2.642,211.108414,7.787
1,16-07-2010,"$1,448,938.92 ",0,83.15,2.623,211.1003854,7.787
1,23-07-2010,"$1,385,065.20 ",0,83.36,2.608,211.2351443,7.787
1,30-07-2010,"$1,371,986.60 ",0,81.84,2.64,211.3699032,7.787
1,6/8/2010,"$1,605,491.78 ",0,87.16,2.627,211.5046621,7.787
1,13-08-2010,"$1,508,237.76 ",0,87,2.692,211.6394211,7.787
1,20-08-2010,"$1,513,080.49 ",0,86.65,2.664,211.6033633,7.787
1,27-08-2010,"$1,449,142.92 ",0,85.22,2.619,211.5673056,7.787
1,3/9/2010,"$1,540,163.53 ",0,81.21,2.577,211.5312479,7.787
1,10/9/2010,"$1,507,460.69 ",1,78.69,2.565,211.4951902,7.787
1,17-09-2010,"$1,430,378.67 ",0,82.11,2.582,211.5224596,7.787
1,24-09-2010,"$1,351,791.03 ",0,80.94,2.624,211.5972246,7.787
1,1/10/2010,"$1,453,329.50 ",0,71.89,2.603,211.6719895,7.838
1,8/10/2010,"$1,508,239.93 ",0,63.93,2.633,211.7467544,7.838
1,15-10-2010,"$1,459,409.10 ",0,67.18,2.72,211.8137436,7.838
1,22-10-2010,"$1,345,454.00 ",0,69.86,2.725,211.8612937,7.838
1,29-10-2010,"$1,384,209.22 ",0,69.64,2.716,211.9088438,7.838
1,5/11/2010,"$1,551,659.28 ",0,58.74,2.689,211.9563939,7.838
1,12/11/2010,"$1,494,479.49 ",0,59.61,2.728,212.003944,7.838
1,19-11-2010,"$1,483,784.18 ",0,51.41,2.771,211.8896737,7.838
1,26-11-2010,"$1,955,624.11 ",1,64.52,2.735,211.7484333,7.838
1,3/12/2010,"$1,548,033.78 ",0,49.27,2.708,211.607193,7.838
1,10/12/2010,"$1,682,614.26 ",0,46.33,2.843,211.4659526,7.838
1,17-12-2010,"$1,891,034.93 ",0,49.84,2.869,211.4053124,7.838
1,24-12-2010,"$2,387,950.20 ",0,52.33,2.886,211.4051222,7.838
1,31-12-2010,"$1,367,320.01 ",1,48.43,2.943,211.4049321,7.838
1,7/1/2011,"$1,444,732.28 ",0,48.27,2.976,211.4047419,7.742
1,14-01-2011,"$1,391,013.96 ",0,35.4,2.983,211.4574109,7.742
1,21-01-2011,"$1,327,405.42 ",0,44.04,3.016,211.8272343,7.742
1,28-01-2011,"$1,316,899.31 ",0,43.83,3.01,212.1970577,7.742
1,4/2/2011,"$1,606,629.58 ",0,42.27,2.989,212.5668812,7.742
1,11/2/2011,"$1,649,614.93 ",1,36.39,3.022,212.9367046,7.742
1,18-02-2011,"$1,686,842.78 ",0,57.36,3.045,213.2478853,7.742
1,25-02-2011,"$1,456,800.28 ",0,62.9,3.065,213.535609,7.742
1,4/3/2011,"$1,636,263.41 ",0,59.58,3.288,213.8233327,7.742
1,11/3/2011,"$1,553,191.63 ",0,53.56,3.459,214.1110564,7.742
1,18-03-2011,"$1,576,818.06 ",0,62.76,3.488,214.3627114,7.742
1,25-03-2011,"$1,541,102.38 ",0,69.97,3.473,214.5999389,7.742
1,1/4/2011,"$1,495,064.75 ",0,59.17,3.524,214.8371664,7.682
1,8/4/2011,"$1,614,259.35 ",0,67.84,3.622,215.0743939,7.682
1,15-04-2011,"$1,559,889.00 ",0,71.27,3.743,215.2918561,7.682
1,22-04-2011,"$1,564,819.81 ",0,72.99,3.807,215.4599053,7.682
1,29-04-2011,"$1,455,090.69 ",0,72.03,3.81,215.6279544,7.682
1,6/5/2011,"$1,629,391.28 ",0,64.61,3.906,215.7960035,7.682
1,13-05-2011,"$1,604,775.58 ",0,75.64,3.899,215.9640526,7.682
